id,brand_name,category_name,name,price,stock_quantity,thumbnail_url,description
29,무지개맨션,메이크업,오브제 리퀴드 틴트,18000,94,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/1.png,독특한 오브제 디자인의 프리미엄 비건 틴트
30,에스쁘아,메이크업,프로 테일러 비글로우 쿠션 올뉴,38000,139,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/10.png,생기 있고 가벼운 광채를 만들어주는 쿠션
31,미장센,헤어케어,퍼펙트 오리지널 세럼 80ml 1+1,22000,29,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/9.png,손상된 모발을 매끄럽게 가꿔주는 헤어 세럼
32,모레모,헤어케어,워터 트리트먼트 미라클 10 200ml,21000,75,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/8.png,10초 만에 흡수되어 물미역 모발을 만드는 트리트먼트
33,어노브,헤어케어,딥 데미지 트리트먼트 EX 207ml 단품,22000,144,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/13.png,"단백질 집중 충전, 극손상모 전용 트리트먼트"
34,랩오투원,헤어케어,탈모증상완화 샴푸 400ml,24000,137,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/8.png,두피 환경을 쾌적하게 개선해주는 탈모 샴푸
35,닥터포헤어,헤어케어,폴리젠 샴푸 500ml,28000,101,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/1.png,두피 각질과 피지 관리에 뛰어난 탈모 프리미엄 샴푸
36,일리윤,바디케어,세라마이드 아토 로션 350ml,19900,61,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/12.png,온 가족이 쓰는 저자극 고보습 바디 로션
37,더바디샵,바디케어,화이트 머스크 바디 미스트 100ml,25000,81,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/15.png,은은하고 매혹적인 살냄새 가득 화이트 머스크
38,세타필,바디케어,모이스춰라이징 로션 473ml,21000,68,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/9.png,민감하고 건조한 피부를 위한 저자극 보습 로션
39,올리브영,미용소품,촉촉 퍼프 4개입,5000,26,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/14.png,물에 적셔 사용하는 촉촉 찰떡 메이크업 퍼프
40,필리밀리,미용소품,V컷 파운데이션 브러시 822,15500,105,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/10.png,결 자국 없이 완벽하게 밀착되는 파운데이션 브러시
41,올리브영픽,향수/디렉터,올리브영픽 퍼퓸드 핸드크림,15000,60,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/7.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
42,닥터포헤어,바디케어,닥터포헤어 리페어 에센스 미스트,8000,169,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/16.png,올리브영에서 가장 사랑받는 닥터포헤어 브랜드의 바디케어 추천 아이템입니다.
43,일리윤,헤어케어,일리윤 소프트 코튼 화장솜,23000,129,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/2.png,올리브영에서 가장 사랑받는 일리윤 브랜드의 헤어케어 추천 아이템입니다.
44,올리브영픽,미용소품,올리브영픽 퍼퓸드 핸드크림,15000,83,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/6.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
45,그로우어스,헤어케어,그로우어스 인텐시브 대용량 로션,23000,173,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/4.png,올리브영에서 가장 사랑받는 그로우어스 브랜드의 헤어케어 추천 아이템입니다.
46,올리브영픽,미용소품,올리브영픽 퍼퓸드 핸드크림,18000,177,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/3.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
47,올리브영픽,향수/디렉터,올리브영픽 인텐시브 대용량 로션,15000,43,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/5.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
48,에스트라,스킨케어,에스트라 모공 클렌징 폼 기획세트,22000,52,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/11.png,올리브영에서 가장 사랑받는 에스트라 브랜드의 스킨케어 추천 아이템입니다.
49,올리브영픽,향수/디렉터,올리브영픽 인텐시브 대용량 로션,12000,170,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/3.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
50,올리브영픽,향수/디렉터,올리브영픽 퍼퓸드 핸드크림,18000,97,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/11.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
51,웨이크메이크,메이크업,웨이크메이크 블러셔 치크,12000,38,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/8.png,올리브영에서 가장 사랑받는 웨이크메이크 브랜드의 메이크업 추천 아이템입니다.
52,일리윤,바디케어,일리윤 인텐시브 대용량 로션,8000,34,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/13.png,올리브영에서 가장 사랑받는 일리윤 브랜드의 바디케어 추천 아이템입니다.
53,올리브영픽,향수/디렉터,올리브영픽 딥 클린 브러시 가이드,18000,124,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/14.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
54,미장센,바디케어,미장센 소프트 코튼 화장솜,23000,92,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/1.png,올리브영에서 가장 사랑받는 미장센 브랜드의 바디케어 추천 아이템입니다.
55,미장센,바디케어,미장센 소프트 코튼 화장솜,23000,182,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/12.png,올리브영에서 가장 사랑받는 미장센 브랜드의 바디케어 추천 아이템입니다.
56,세타필,헤어케어,세타필 소프트 코튼 화장솜,15000,136,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/16.png,올리브영에서 가장 사랑받는 세타필 브랜드의 헤어케어 추천 아이템입니다.
57,투쿨포스쿨,메이크업,투쿨포스쿨 롱스테이 아이라이너,16000,53,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/6.png,올리브영에서 가장 사랑받는 투쿨포스쿨 브랜드의 메이크업 추천 아이템입니다.
58,더바디샵,바디케어,더바디샵 퍼퓸드 핸드크림,15000,68,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/10.png,올리브영에서 가장 사랑받는 더바디샵 브랜드의 바디케어 추천 아이템입니다.
59,올리브영픽,미용소품,올리브영픽 리페어 에센스 미스트,18000,23,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/5.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
60,피치씨,메이크업,피치씨 매트 리퀴드 립,16000,168,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/9.png,올리브영에서 가장 사랑받는 피치씨 브랜드의 메이크업 추천 아이템입니다.
61,바이오더마,스킨케어,바이오더마 릴리프 수딩 마스크 기획세트,28000,60,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/2.png,올리브영에서 가장 사랑받는 바이오더마 브랜드의 스킨케어 추천 아이템입니다.
62,올리브영픽,미용소품,올리브영픽 리페어 에센스 미스트,23000,70,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/7.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
63,카밀,헤어케어,카밀 인텐시브 대용량 로션,8000,166,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/15.png,올리브영에서 가장 사랑받는 카밀 브랜드의 헤어케어 추천 아이템입니다.
64,올리브영픽,향수/디렉터,올리브영픽 퍼퓸드 핸드크림,12000,141,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/4.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
65,닥터포헤어,헤어케어,닥터포헤어 소프트 코튼 화장솜,15000,68,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/11.png,올리브영에서 가장 사랑받는 닥터포헤어 브랜드의 헤어케어 추천 아이템입니다.
66,롬앤,메이크업,롬앤 워터 틴트 글로우,16000,134,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/4.png,올리브영에서 가장 사랑받는 롬앤 브랜드의 메이크업 추천 아이템입니다.
67,올리브영픽,향수/디렉터,올리브영픽 딥 클린 브러시 가이드,15000,134,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/12.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
68,투쿨포스쿨,메이크업,투쿨포스쿨 블러셔 치크,25000,122,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/1.png,올리브영에서 가장 사랑받는 투쿨포스쿨 브랜드의 메이크업 추천 아이템입니다.
69,어노브,헤어케어,어노브 리페어 에센스 미스트,8000,148,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/13.png,올리브영에서 가장 사랑받는 어노브 브랜드의 헤어케어 추천 아이템입니다.
70,그로우어스,헤어케어,그로우어스 퍼퓸드 핸드크림,23000,73,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/15.png,올리브영에서 가장 사랑받는 그로우어스 브랜드의 헤어케어 추천 아이템입니다.
71,세타필,바디케어,세타필 인텐시브 대용량 로션,8000,158,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/9.png,올리브영에서 가장 사랑받는 세타필 브랜드의 바디케어 추천 아이템입니다.
72,브링그린,스킨케어,브링그린 비타민 토너 패드 기획세트,24000,155,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/10.png,올리브영에서 가장 사랑받는 브링그린 브랜드의 스킨케어 추천 아이템입니다.
73,올리브영픽,미용소품,올리브영픽 딥 클린 브러시 가이드,23000,129,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/3.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
74,그로우어스,헤어케어,그로우어스 소프트 코튼 화장솜,15000,150,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/6.png,올리브영에서 가장 사랑받는 그로우어스 브랜드의 헤어케어 추천 아이템입니다.
75,바이오더마,스킨케어,바이오더마 모공 클렌징 폼 기획세트,22000,78,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/16.png,올리브영에서 가장 사랑받는 바이오더마 브랜드의 스킨케어 추천 아이템입니다.
76,페리페라,메이크업,페리페라 하이라이터 빔,19000,61,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/5.png,올리브영에서 가장 사랑받는 페리페라 브랜드의 메이크업 추천 아이템입니다.
77,올리브영픽,향수/디렉터,올리브영픽 인텐시브 대용량 로션,18000,134,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/7.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
78,데이지크,메이크업,데이지크 워터 틴트 글로우,14000,123,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/2.png,올리브영에서 가장 사랑받는 데이지크 브랜드의 메이크업 추천 아이템입니다.
79,올리브영픽,향수/디렉터,올리브영픽 리페어 에센스 미스트,23000,88,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/14.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
80,스킨푸드,스킨케어,스킨푸드 모공 클렌징 폼 기획세트,24000,69,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/8.png,올리브영에서 가장 사랑받는 스킨푸드 브랜드의 스킨케어 추천 아이템입니다.
81,롬앤,메이크업,롬앤 롱스테이 아이라이너,19000,97,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/10.png,올리브영에서 가장 사랑받는 롬앤 브랜드의 메이크업 추천 아이템입니다.
82,올리브영픽,향수/디렉터,올리브영픽 퍼퓸드 핸드크림,12000,174,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/15.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
83,그로우어스,바디케어,그로우어스 인텐시브 대용량 로션,18000,155,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/12.png,올리브영에서 가장 사랑받는 그로우어스 브랜드의 바디케어 추천 아이템입니다.
84,에스쁘아,메이크업,에스쁘아 롱스테이 아이라이너,19000,197,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/14.png,올리브영에서 가장 사랑받는 에스쁘아 브랜드의 메이크업 추천 아이템입니다.
85,올리브영픽,미용소품,올리브영픽 딥 클린 브러시 가이드,23000,106,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/2.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
86,올리브영픽,향수/디렉터,올리브영픽 인텐시브 대용량 로션,15000,190,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/1.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
87,웨이크메이크,메이크업,웨이크메이크 블러셔 치크,12000,121,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/13.png,올리브영에서 가장 사랑받는 웨이크메이크 브랜드의 메이크업 추천 아이템입니다.
88,올리브영픽,미용소품,올리브영픽 퍼퓸드 핸드크림,15000,58,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/6.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
89,데이지크,메이크업,데이지크 워터 틴트 글로우,12000,35,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/4.png,올리브영에서 가장 사랑받는 데이지크 브랜드의 메이크업 추천 아이템입니다.
90,올리브영픽,향수/디렉터,올리브영픽 인텐시브 대용량 로션,18000,95,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/9.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
91,올리브영픽,향수/디렉터,올리브영픽 리페어 에센스 미스트,12000,176,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/11.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
92,카밀,바디케어,카밀 딥 클린 브러시 가이드,8000,51,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/5.png,올리브영에서 가장 사랑받는 카밀 브랜드의 바디케어 추천 아이템입니다.
93,스킨푸드,스킨케어,스킨푸드 릴리프 수딩 마스크 기획세트,18000,188,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/7.png,올리브영에서 가장 사랑받는 스킨푸드 브랜드의 스킨케어 추천 아이템입니다.
94,올리브영픽,미용소품,올리브영픽 소프트 코튼 화장솜,23000,32,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/16.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 미용소품 추천 아이템입니다.
95,일리윤,바디케어,일리윤 소프트 코튼 화장솜,12000,195,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/3.png,올리브영에서 가장 사랑받는 일리윤 브랜드의 바디케어 추천 아이템입니다.
96,올리브영픽,향수/디렉터,올리브영픽 딥 클린 브러시 가이드,8000,119,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/8.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
97,토리든,스킨케어,토리든 비타민 토너 패드 기획세트,28000,140,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/5.png,올리브영에서 가장 사랑받는 토리든 브랜드의 스킨케어 추천 아이템입니다.
98,올리브영픽,향수/디렉터,올리브영픽 리페어 에센스 미스트,12000,30,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/16.png,올리브영에서 가장 사랑받는 올리브영픽 브랜드의 향수/디렉터 추천 아이템입니다.
99,마녀공장,스킨케어,마녀공장 비타민 토너 패드 기획세트,24000,162,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/1.png,올리브영에서 가장 사랑받는 마녀공장 브랜드의 스킨케어 추천 아이템입니다.
100,세타필,바디케어,세타필 소프트 코튼 화장솜,18000,76,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/3.png,올리브영에서 가장 사랑받는 세타필 브랜드의 바디케어 추천 아이템입니다.
